movie_name,trailer_video_id,likes,dislikes,views,sentiment_score
I'm Going Home,XuxsQJaEMek,14942,239,1587467,0.29293519999999995
Dahmer,jmnuC7tn9D4,34845,696,2855777,0.029329599999999977
Das Experiment,g9zckOvTMUQ,4388,751,6249534,0.030716432865731474
How I Killed My Father,x17ztl_QsZI,23929,1010,3835269,0.25616606425702776
Bartleby,RwiA8nC9C0w,22,1,3154,0.3334333333333333
Quai des Orfevres (Re-issue),RwiA8nC9C0w,22,1,3154,0.3334333333333333
Hansel and Gretel,9246msCh7x4,24250,1550,9260853,0.23426939999999982
Pepe le Moko (re-issue),9246msCh7x4,24250,1550,9260853,0.23426939999999982
Derrida,w-OCWIIUIFE,8,0,94,0.17924
Ziggy Stardust (Re-issue),w-OCWIIUIFE,8,0,94,0.17924
Hybrid,4AfwLJuc07c,4832,1090,4437168,0.013367385444743932
Station Nord,4AfwLJuc07c,4832,1090,4437168,0.013367385444743932
The Business of Fancydancing,135waDX6FNc,2,0,970,0
Andrei Tarkovsky Retrospective,xB7jVTut3-g,1673,26,184700,0.20258301886792454
Cherish,PkP2etrk7XY,97,4,59478,0.4433620689655172
Yamakasi,rN0GpdaUEXg,338,16,218599,0.32510000000000006
What Time Is It There?,rN0GpdaUEXg,338,16,218599,0.32510000000000006
All or Nothing,go3ELJdpkx4,7667,269,3021966,0.30596358974358945
The Chateau,H14tqKZYhgg,914,25,4794016,0.21326875000000003
Alias Betty,zzayf9GpXCI,14080,683,3959806,0.10719014084507027
Love Liza,7Qe4LOkJi4k,21264,698,2813952,0.22628739999999992
His Secret Life,i-80SGWfEjM,100664,3490,25029864,0.2248670020120721
The Cockettes,An8vfK5v50A,93,5,33127,0.019600000000000006
Murderous Maids,OWqj4q7h5tE,,,41070,0
Les Destinees,SRg0hpIRsfQ,12,0,6244,0
Satin Rouge,SRg0hpIRsfQ,12,0,6244,0
Swimming,ZLxM1Evib_o,17886,5559,9216997,0.17576648351648352
Circuit,ktiMVKeA9QM,1527,108,1736262,0.012949579831932786
Ram Dass: Fierce Grace,RqYkUKcEBR4,1384,38,75665,0.26425301204819274
Happy Times,wiPD9X43knU,66922,2450,8456454,-0.004235399999999993
Promises,gnwgMYeaqr4,10257,1383,5649886,0.026687550200803257
Skins,_9bEMjIRNC4,9355,6006,16292722,0.07161119999999996
In Praise of Love,_9bEMjIRNC4,9355,6006,16292722,0.07161119999999996
Who is Cletis Tout?,xe9exzTlPBI,20,3,26161,0.23596666666666666
Sex with Strangers,0J2znKqmWfU,24,12,114263,0.32508
Waking Up in Reno,1X1b6RQtai0,,,27283,0
Morvern Callar,9iGONDWCnsM,140,10,72101,0.5130666666666667
Seven Samurai (re-issue),9iGONDWCnsM,140,10,72101,0.5130666666666667
Mad Love (2002),9iGONDWCnsM,140,10,72101,0.5130666666666667
Green Dragon,fPOamb6d_20,26478,2377,9838434,0.16894669338677346
Scratch,G_u7s8NDz9o,246,7,183871,-0.05732499999999998
Power and Terror: Noam Chomsky in Our Times,Z7Mdi2y9__8,17,0,3316,0
Festival in Cannes,kIGz2kyo26U,11439,588,2511054,0.0937418699186991
Me Without You,Eh993__rOxA,137402,2220,22911915,0.08906659999999987
Intacto,d-nz4pJDDsM,148,6,103127,0.09627999999999998
Never Again,aRwrdbcAh2s,37142,1081,10505471,0.13369146341463403
Pumpkin,aa21pDDxkAk,229,27,213167,0.56471875
Elling,AxRVhgbVN9o,3961,315,1179704,0.06558199999999997
Saathiya,CrbeVrRVGQs,384,171,682111,0.17143076923076925
The Last Waltz (re-issue),GSOkYuxErE8,6,0,2391,0.58675
The Lady and the Duke,4kppCaZ4r2g,21,3,44148,0.39308750000000003
Welcome to Collinwood,PBWjNtMU2PI,30,2,56136,0.2872625
Les Dangereux,cMKX2tE5Luk,65985,1568,7329368,0.20677620000000002
Lawrence of Arabia (re-issue) (2002),cMKX2tE5Luk,65985,1568,7329368,0.20677620000000002
American Adobo,yMVhLLB8kFs,6,3,8193,0.0
"Scotland, PA",hiF-ftELdv0,55,6,42836,0.5956
Jee Aayun Nu,RM6sii2RWy8,5,1,4635,0.4927
The Mystic Masseur,uUfrMS9ph2A,,,7153,0
Little Secrets,VlMe7PavaRQ,14865,463,3001372,0.2821450000000001
Cinema Paradiso: The New Version,C2-GX0Tltgw,1249,62,813366,0.3164134146341463
Amadeus (Director's Cut),yIzhAKtEzY0,2312,101,1154408,0.25323094555873915
CQ,PhTYjCoJ-CQ,59,1,85281,0.36690000000000006
The Believer,Mq4m3yAoW8E,66619,4875,11720078,0.1543555999999999
Merci Pour le Chocolat,vSf8Hyo6WRE,57,3,35265,0.36937999999999993
The Way Home,87kezJTpyMI,6805,281,5039602,0.20992519999999984
I Am Trying to Break Your Heart,cJbLvQkCwRc,580,6,297265,0.2115038461538461
The Triumph of Love,CBIDYcFOg3A,450,26,303000,0.19041777777777774
Time Out,fdadZ_KrZVw,18098,967,13583202,0.24744919999999998
Rain,B28IHhaQXCE,21875,393,4962492,0.1951435845213846
Tully,e5D3O4yCmCg,11840,1444,5795949,0.15574411764705876
Manna from Heaven,e5D3O4yCmCg,11840,1444,5795949,0.15574411764705876
The Trials of Henry Kissinger,bm5QVvwDHvM,55,0,9431,-0.40995294117647063
The Grey Zone,ujrBaHS8UTg,2165,109,774483,0.1160136752136752
Max,Tf4sa0BVJVw,125873,26655,32488047,0.08846299999999993
Kurosawa & Mifune Festival,Tf4sa0BVJVw,125873,26655,32488047,0.08846299999999993
Swept Away,oquZifON8Eg,23382,1309,10814020,0.20330080000000003
